 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azi    Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
   0.0  933.5  21.7  18.2  80.3 9999.0 9999.0 999.0 999.0 999.0  -64.505 -31.423 999.0 999.0   654.9  1.0  2.0  2.0  9.0  9.0  9.0
   7.5  930.0  19.4  16.3  82.3   -1.1    0.2   1.1  98.1   5.0  -64.505 -31.423 999.0 999.0   687.5  1.0  2.0  2.0  1.0  1.0 99.0
  16.8  925.0  19.3  16.4  83.2   -1.9    0.3   1.9  99.1   5.0  -64.505 -31.423 999.0 999.0   734.0  1.0  1.0  1.0  1.0  1.0 99.0
  26.2  920.0  19.0  16.1  83.3   -2.6    0.3   2.6  96.6   5.0  -64.505 -31.423 999.0 999.0   780.8  1.0  1.0  1.0  1.0  1.0 99.0
  35.5  915.0  18.7  16.0  84.2   -2.6    0.2   2.6  94.4   5.0  -64.506 -31.423 999.0 999.0   827.5  1.0  1.0  1.0  1.0  1.0 99.0
  45.0  910.0  18.3  15.8  85.2   -2.6    0.0   2.6  90.0   5.0  -64.506 -31.423 999.0 999.0   875.0  1.0  1.0  1.0  1.0  1.0 99.0
  54.4  905.0  17.9  15.5  86.2   -2.7    0.1   2.7  92.1   5.0  -64.506 -31.423 999.0 999.0   922.0  1.0  1.0  1.0  1.0  1.0 99.0
  63.8  900.0  17.5  15.3  87.2   -2.9    0.5   2.9  99.5   5.0  -64.507 -31.423 999.0 999.0   969.2  1.0  1.0  1.0  1.0  1.0 99.0
  73.4  895.0  17.3  15.3  88.1   -2.9    0.7   2.9 103.8   5.0  -64.507 -31.423 999.0 999.0  1017.0  1.0  1.0  1.0  1.0  1.0 99.0
  83.0  890.0  17.2  15.5  89.7   -2.1    0.4   2.1 100.8   5.0  -64.507 -31.423 999.0 999.0  1065.0  1.0  1.0  1.0  1.0  1.0 99.0
  92.7  885.0  17.2  15.9  92.1   -1.5    0.1   1.5  93.7   5.0  -64.507 -31.423 999.0 999.0  1113.3  1.0  1.0  1.0  1.0  1.0 99.0
